qty,image_url,description,aliexpress_link,variation,price,lot,status
1,https://function3d.xyz/wp-content/uploads/2025/08/14614565_1_top_purple_small-300x214.png,"PCB, <a href=""https://github.com/function3d/petalot/raw/master/Schematic/Gerber_v1.1_2023-01-02.zip"">gerber</a> for PCB fabrication, just upload this <a href=""https://github.com/function3d/petalot/raw/master/Schematic/Gerber_v1.1_2023-01-02.zip"">zip</a> file to <a href=""https://jlcpcb.com/?from=FUNC"">jlcpcb.com</a> and order your PCB. Or <a href=""https://function3d.xyz/product/pcb-for-petalot"">buy a ready-made PCB</a>.",,,,,pcb
1,https://function3d.xyz/wp-content/uploads/2025/07/wemos-300x278.webp,Wemos <strong>D1 MINI</strong> V4.0 (any other version of WeMos that shares the output pins should work),https://s.click.aliexpress.com/e/_DCS2eTP,D1 MINI V4.0,2.99,,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/DC-DC-300x300.webp,Mini DC-DC 12-24V To 5V 3A <strong>Step Down</strong>,https://s.click.aliexpress.com/e/_DDFlE5x,,4.99,10,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/A4988-300x300.webp,"<strong>A4988</strong> stepper motor driver+heat sink (It is quite easy to burn it, especially if you are a beginner, better 2 units)",https://s.click.aliexpress.com/e/_c32zgNiZ,A4988,1.5,,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/IRLZ44N-300x300.webp,<strong>IRLZ44N</strong> MOSFET,https://s.click.aliexpress.com/e/_DdfBlgH,IRLZ44N,3.09,10,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/condensador-300x300.webp,capacitor <strong>16V 100uf</strong>,https://s.click.aliexpress.com/e/_optaFrN,16V100UF,2.27,50,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/pin-header-1-300x300.webp,pin header Male and Female,https://s.click.aliexpress.com/e/_DcGRnY9,,3.79,20,ok
3,https://function3d.xyz/wp-content/uploads/2025/07/Terminal-Block-Connector-2P-300x300.webp,Terminal Block Connector <strong>2P</strong>,https://s.click.aliexpress.com/e/_DkqRgFn,2P,0.83,10,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/10k-1-300x300.webp,<strong>10K</strong> ohms resistors <strong>R2</strong>,https://s.click.aliexpress.com/e/_DeT9AAz,10K,1.7,100,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/2k-300x300.webp,<strong>2K</strong> ohms resistors <strong>for R1 if firmware version >=1.4</strong>,https://s.click.aliexpress.com/e/_DeT9AAz,2K,2.18,100,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/Power-Supply-300x300.webp,Power Supply <strong>12v 5A</strong>,https://s.click.aliexpress.com/e/_c2zdHPX3,,6.09,,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/Micro-Limit-Switch-Roller-Lever-Arm-300x300.webp,Mini Micro Limit Switch <strong>Roller Lever Arm</strong>, for strip sensor (MS-1A-14.5-P),https://s.click.aliexpress.com/e/_DdoNg8z,,2.13,5,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/nema17-300x300.webp,<strong>Nema 17</strong> stepper motor <strong>height >=38mm</strong> D shaped shaft (<strong>17HS4401S-Dupont)</strong>,https://s.click.aliexpress.com/e/_c39SiyRr,,11.19,,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/hotend-1-300x300.webp,"Hotend MK8 <strong>12V 40W</strong><a rel=""fancybox"" href=""https://function3d.xyz/wp-content/uploads/2026/05/heater-block-3.webp""><img rel=""lightbox"" width=""160"" src=""https://function3d.xyz/wp-content/uploads/2026/05/heater-block-3.webp"" /></a>",https://s.click.aliexpress.com/e/_DnlMNy5,,3.65,,ok
30cm,https://function3d.xyz/wp-content/uploads/2025/07/wire.webp,"Wire <strong>2P</strong> <strong>30AWG</strong> (for limit switch strip sensor, digital signal, I use the very thin wires stripped from an old LPT1 printer cable)",https://s.click.aliexpress.com/e/_Dlnn1bd,30AWG,0.72,1,ok
25cm,https://function3d.xyz/wp-content/uploads/2025/07/wire.webp,Wire <strong>2P 18AWG</strong> (I use 25cm from the hotend heater cable),https://s.click.aliexpress.com/e/_Dlnn1bd,18AWG,1.62,1,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/IEC320-300x300.webp,10A 250V Male Power Socket 3 Pin IEC320 <strong>switch + Fuse</strong>,https://s.click.aliexpress.com/e/_DmuNpxf,,2.36,,ok
9,https://function3d.xyz/wp-content/uploads/2025/07/terminals-1.webp,"Terminal Wire Conector Crimp Insulated Ferrule <strong>20AWG</strong> (PCB power, IEC320, heater)",https://s.click.aliexpress.com/e/_oEJer1l,20AWG,1.06,100,ok
2,https://function3d.xyz/wp-content/uploads/2025/07/terminals-1.webp,Terminal Wire Conector Crimp Insulated Ferrule <strong>24AWG</strong> (micro switch),https://s.click.aliexpress.com/e/_oEJer1l,24AWG,1.06,100,ok
5,https://function3d.xyz/wp-content/uploads/2026/09/4.8mm-female-terminal.webp,<strong>4.8mm Female Terminal</strong>,https://s.click.aliexpress.com/e/_c2xFTcyv,4.8mm Female,0.94,50,ok
25mm,https://function3d.xyz/wp-content/uploads/2026/03/tube.jpg,"<strong>Heat Shrink Tube 5mm, for strip sensor and 4.8mm Female Terminal</strong>",https://s.click.aliexpress.com/e/_c3knUgat,5mm,1.32,1,ok
40mm,https://function3d.xyz/wp-content/uploads/2026/03/tube.jpg,"<strong>Heat Shrink Tube 2mm, for strip sensor</strong>",https://s.click.aliexpress.com/e/_c3knUgat,2mm,1.23,1,ok
