qty,image_url,description,aliexpress_link,variation
1,https://function3d.xyz/wp-content/uploads/2025/08/14614565_1_top_purple_small-300x214.png,"PCB, <a href=""https://github.com/function3d/petalot/raw/master/Schematic/Gerber_v1.1_2023-01-02.zip"">gerber</a> para fabricar la PCB; solo tienes que subir este archivo <a href=""https://github.com/function3d/petalot/raw/master/Schematic/Gerber_v1.1_2023-01-02.zip"">zip</a> a <a href=""https://jlcpcb.com/?from=FUNC"">jlcpcb.com</a> y pedir tu PCB.",https://jlcpcb.com/?from=FUNC,
1,https://function3d.xyz/wp-content/uploads/2025/07/Power-Supply-300x300.webp,Fuente de alimentación <strong>12v 5A</strong>,https://s.click.aliexpress.com/e/_c2zdHPX3,
1,https://function3d.xyz/wp-content/uploads/2025/07/wemos-300x278.webp,Wemos <strong>D1 MINI</strong> V4.0 (cualquier otra versión de WeMos que comparta los pines de salida debería servir),https://s.click.aliexpress.com/e/_DCS2eTP,D1 MINI V4.0
1,https://function3d.xyz/wp-content/uploads/2025/07/DC-DC-300x300.webp,Mini DC-DC 12-24V a 5V 3A <strong>Step Down</strong>,https://s.click.aliexpress.com/e/_DDFlE5x,
1,https://function3d.xyz/wp-content/uploads/2025/07/Micro-Limit-Switch-Roller-Lever-Arm-300x300.webp,Mini micro interruptor de final de carrera <strong>con palanca de rodillo</strong> (MS-1A-14.5-P),https://s.click.aliexpress.com/e/_DdoNg8z,
1,https://function3d.xyz/wp-content/uploads/2025/07/A4988-300x300.webp,"Driver de motor paso a paso <strong>A4988</strong> + disipador (es bastante fácil quemarlo, sobre todo si eres principiante; mejor 2 unidades)",https://s.click.aliexpress.com/e/_c32zgNiZ,A4988
1,https://function3d.xyz/wp-content/uploads/2025/07/nema17-300x300.webp,"Motor paso a paso <strong>Nema 17</strong>, <strong>altura >=38mm</strong>, eje en forma de D (<strong>17HS4401S-Dupont</strong>)",https://s.click.aliexpress.com/e/_c4mwRkx1,
1,https://function3d.xyz/wp-content/uploads/2025/07/IRLZ44N-300x300.webp,MOSFET <strong>IRLZ44N</strong>,https://s.click.aliexpress.com/e/_DdfBlgH,IRLZ44N
1,https://function3d.xyz/wp-content/uploads/2025/07/hotend-1-300x300.webp,"Hotend MK8 <strong>12V 40W</strong><a rel=""fancybox"" href=""https://function3d.xyz/wp-content/uploads/2026/05/heater-block-3.webp""><img rel=""lightbox"" width=""160"" src=""https://function3d.xyz/wp-content/uploads/2026/05/heater-block-3.webp"" /></a>",https://s.click.aliexpress.com/e/_DnlMNy5,
1,https://function3d.xyz/wp-content/uploads/2025/07/condensador-300x300.webp,Condensador <strong>16V 100uf</strong>,https://s.click.aliexpress.com/e/_optaFrN,16V100UF
1,https://function3d.xyz/wp-content/uploads/2025/07/pin-header-1-300x300.webp,Tira de pines macho y hembra,https://s.click.aliexpress.com/e/_DcGRnY9,
3,https://function3d.xyz/wp-content/uploads/2025/07/Terminal-Block-Connector-2P-300x300.webp,Conector de bloque de terminales <strong>2P</strong>,https://s.click.aliexpress.com/e/_DkqRgFn,2P
1,https://function3d.xyz/wp-content/uploads/2025/07/10k-1-300x300.webp,Resistencias de <strong>10K</strong> ohmios <strong>R2</strong>,https://s.click.aliexpress.com/e/_DeT9AAz,10K
1,https://function3d.xyz/wp-content/uploads/2025/07/2k-300x300.webp,Resistencias de <strong>2K</strong> ohmios <strong>para R1 si la versión de firmware es >=1.4</strong>,https://s.click.aliexpress.com/e/_DeT9AAz,2K
30cm,https://function3d.xyz/wp-content/uploads/2025/07/wire.webp,"Cable <strong>2P</strong> <strong>30AWG</strong> (para el sensor de filamento de final de carrera, señal digital; yo uso los cables muy finos que saco de un cable de impresora LPT1 viejo)",https://s.click.aliexpress.com/e/_Dlnn1bd,30AWG
25cm,https://function3d.xyz/wp-content/uploads/2025/07/wire.webp,Cable <strong>2P 18AWG</strong> (yo uso 25 cm del cable calefactor del hotend),https://s.click.aliexpress.com/e/_Dlnn1bd,18AWG
1,https://function3d.xyz/wp-content/uploads/2025/07/IEC320-300x300.webp,Toma de corriente macho 10A 250V de 3 pines IEC320 <strong>con interruptor + fusible</strong>,https://s.click.aliexpress.com/e/_DmuNpxf,
9,https://function3d.xyz/wp-content/uploads/2025/07/terminals-1.webp,"Terminales de cable crimpados con funda aislante <strong>20AWG</strong> (alimentación de la PCB, IEC320, calefactor)",https://s.click.aliexpress.com/e/_oEJer1l,20AWG
2,https://function3d.xyz/wp-content/uploads/2025/07/terminals-1.webp,Terminales de cable crimpados con funda aislante <strong>24AWG</strong> (micro interruptor),https://s.click.aliexpress.com/e/_oEJer1l,24AWG
5,https://function3d.xyz/wp-content/uploads/2025/07/Insulating-Sheath-300x282.webp,<strong>Terminal hembra de 4.8mm</strong>,https://s.click.aliexpress.com/e/_c2xFTcyv,4.8mm Female
5,https://function3d.xyz/wp-content/uploads/2025/07/Insulating-Sheath-300x282.webp,<strong>Funda aislante de 4.8mm</strong>,https://s.click.aliexpress.com/e/_c2xFTcyv,4.8mm Sheath
25mm,https://function3d.xyz/wp-content/uploads/2026/03/tube.jpg,"<strong>Tubo termorretráctil 5mm, para el sensor de filamento/tira</strong>",https://s.click.aliexpress.com/e/_c3knUgat,5mm
40mm,https://function3d.xyz/wp-content/uploads/2026/03/tube.jpg,"<strong>Tubo termorretráctil 2mm, para el sensor de filamento/tira</strong>",https://s.click.aliexpress.com/e/_c3knUgat,2mm
