qty,image_url,description,aliexpress_link,variation
18,https://function3d.xyz/wp-content/uploads/2025/07/m2x20mm.webp,"Screw <strong>M2.3 x 20mm</strong> (union between Large Gear and Pulley)",https://s.click.aliexpress.com/e/_c3eyUDcN,"M2.3 50pcs, 20mm"
2,https://function3d.xyz/wp-content/uploads/2025/07/m2x20mm.webp,"Screw <strong>M2 x 12mm</strong> (fix PCB to wood base)",https://s.click.aliexpress.com/e/_c3eyUDcN,"M2 50pcs, 12mm"
3,https://function3d.xyz/wp-content/uploads/2025/07/wood-screw-300x300.webp,"Screw <strong>M4 x 35mm</strong> (central wooden block and Angle Bracket)",https://s.click.aliexpress.com/e/_onWNJ8P,M4x35 30 piezas
14,https://function3d.xyz/wp-content/uploads/2025/07/wood-screw-300x300.webp,"Screw <strong>M3 x 20mm</strong> (to screw the different parts to the wood base)",https://s.click.aliexpress.com/e/_onWNJ8P,M3x20 30 piezas
1,https://function3d.xyz/wp-content/uploads/2026/05/nozzle.webp,"V6 Stainless steel nozzle <strong>0.4 mm</strong>",https://s.click.aliexpress.com/e/_c3ejwXiT,"1.75mm, 0.4mm"
4,https://function3d.xyz/wp-content/uploads/2025/07/S72cdd33641be456fbd6f14e7003cd6688-300x300.webp,"Bearing 8x22x7 mm <strong>608RS</strong>",https://s.click.aliexpress.com/e/_DFmmUC5,608 RS
1,https://function3d.xyz/wp-content/uploads/2025/07/Angle-Bracket-267x300.webp,"90 Degree Angle Bracket <strong>20x20mm</strong>",https://s.click.aliexpress.com/e/_c4VSPnbL,10PC
2,https://function3d.xyz/wp-content/uploads/2025/07/M8-Threaded-Rod-1-300x300.webp,"<strong>M8x105mm</strong> Threaded Rod (I use rod thereaded cut to 10.5cm)",https://s.click.aliexpress.com/e/_DeTWIUt,M8x110mm (1 Pieza)
4,https://function3d.xyz/wp-content/uploads/2025/07/M8-Hex-Nylon-Nut-Self-locking-282x300.webp,"<strong>M8</strong> Hex Nylon Insert Lock Nut Self-locking Locknut",https://s.click.aliexpress.com/e/_c31WJI0D,20pcs M8
1,https://function3d.xyz/wp-content/uploads/2025/07/M3-8mm-300x300.webp,"<strong>M3 8mm</strong> for the motor gear",https://s.click.aliexpress.com/e/_c38WdOKJ,"M3 50 piezas, 8 mm"
2,https://function3d.xyz/wp-content/uploads/2026/05/Self-tapping-screws.webp,"<strong>M3 10mm</strong> Self-tapping screws for electronic box and motor mount",https://s.click.aliexpress.com/e/_onWNJ8P,M3x10 30 piezas
1,https://function3d.xyz/wp-content/uploads/2026/05/m3-nut.webp,"<strong>M3</strong> nut for the motor gear",https://s.click.aliexpress.com/e/_c4DrxHSF,200pcs M3
2,https://function3d.xyz/wp-content/uploads/2026/05/m3-14mm-300x300-1.webp,"<strong>M3 14mm</strong> bolt for motor mount",https://s.click.aliexpress.com/e/_c38WdOKJ,"M3 50 piezas, 14 mm"
50cm,https://function3d.xyz/wp-content/uploads/2025/07/kite-rope-1.webp,"Nylon thread <strong>1mm</strong>",https://s.click.aliexpress.com/e/_c4028B6b,1 mm 36 metros
32cm,https://function3d.xyz/wp-content/uploads/2026/05/Sleeve.webp,"Cable Sleeve <strong>6mm</strong>",https://s.click.aliexpress.com/e/_c4qwLShV,6MMX15M
